paper_id,total_valid_chars,proof_chars,proof_density,display_chars,display_density
AOS_2024_0025,211732,18647,0.0881,51167,0.2417
AOS_2024_0031,446855,35913,0.0804,183779,0.4113
AOS_2024_0038,214538,34560,0.1611,48688,0.2269
AOS_2024_0040,136225,40782,0.2994,21169,0.1554
AOS_2024_0042,123099,24585,0.1997,25666,0.2085
AOS_2024_0043,145069,62866,0.4334,10616,0.0732
AOS_2024_0045,835701,84776,0.1014,514762,0.616
AOS_2024_0046,248527,32951,0.1326,41431,0.1667
AOS_2024_0047,186984,9571,0.0512,57384,0.3069
AOS_2024_0048,234520,21975,0.0937,88917,0.3791
AOS_2024_0051,242104,0,0.0,67637,0.2794
AOS_2024_0056,133307,29400,0.2205,27258,0.2045
AOS_2024_0057,362639,238670,0.6581,156141,0.4306
AOS_2024_0058,331333,114358,0.3451,114879,0.3467
AOS_2024_0067,397205,249795,0.6289,98203,0.2472
AOS_2024_0068,133241,54147,0.4064,31347,0.2353
AOS_2024_0069,293801,130978,0.4458,83712,0.2849
AOS_2024_0070,156875,31823,0.2029,34205,0.218
AOS_2024_0071,132855,71734,0.5399,37743,0.2841
AOS_2024_0072,94763,46228,0.4878,25910,0.2734
AOS_2024_0073,333917,205383,0.6151,121213,0.363
AOS_2024_0074,175989,12763,0.0725,53777,0.3056
AOS_2024_0075,179017,26482,0.1479,59236,0.3309
AOS_2024_0078,152164,9261,0.0609,10211,0.0671
AOS_2024_0079,342532,123493,0.3605,72187,0.2107
AOS_2024_0080,382615,95090,0.2485,162777,0.4254
AOS_2024_0081,311491,44780,0.1438,142523,0.4576
AOS_2024_0086,68337,10932,0.16,12961,0.1897
AOS_2024_0087,228551,79688,0.3487,64648,0.2829
AOS_2024_0088,198137,55898,0.2821,39341,0.1986
AOS_2024_0090,118383,23993,0.2027,33279,0.2811
AOS_2024_0094,314737,135461,0.4304,468,0.0015
AOS_2024_0096,280927,168843,0.601,109457,0.3896
AOS_2024_0097,371735,225333,0.6062,155926,0.4195
AOS_2024_0099,167909,60191,0.3585,44054,0.2624
AOS_2024_0100,249344,126491,0.5073,54106,0.217
AOS_2024_0101,209972,91625,0.4364,62448,0.2974
AOS_2024_0102,224921,16943,0.0753,53372,0.2373
AOS_2024_0103,226596,127291,0.5618,64568,0.2849
AOS_2024_0113,100532,0,0.0,34172,0.3399
